iter	Passed	Remaining
0	2	275
1	5	251
2	7	240
3	9	226
4	12	228
5	14	228
6	17	228
7	19	225
8	22	224
9	24	221
10	26	217
11	29	215
12	31	211
13	34	209
14	36	207
15	38	203
16	41	200
17	43	198
18	45	195
19	48	192
20	50	189
21	52	186
22	54	183
23	57	181
24	59	178
25	61	174
26	63	171
27	65	168
28	67	165
29	69	162
30	72	161
31	76	163
32	79	161
33	81	158
34	84	156
35	86	154
36	89	151
37	91	149
38	93	146
39	96	144
40	98	141
41	99	137
42	101	134
43	104	133
44	106	130
45	109	128
46	111	125
47	114	123
48	116	121
49	118	118
50	121	116
51	123	114
52	125	111
53	127	109
54	129	106
55	131	103
56	134	101
57	136	98
58	138	96
59	141	94
60	143	91
61	146	89
62	148	87
63	151	85
64	153	82
65	155	80
66	158	77
67	160	75
68	162	73
69	165	70
70	167	68
71	171	66
72	174	64
73	176	62
74	179	59
75	181	57
76	184	55
77	186	52
78	189	50
79	191	47
80	194	45
81	196	43
82	199	40
83	201	38
84	203	35
85	205	33
86	208	31
87	210	28
88	212	26
89	215	23
90	217	21
91	219	19
92	220	16
93	222	14
94	223	11
95	225	9
96	226	7
97	227	4
98	229	2
99	230	0
