iter	Passed	Remaining
0	2	257
1	5	263
2	8	281
3	10	251
4	12	242
5	15	241
6	18	249
7	21	243
8	23	235
9	25	231
10	29	235
11	33	244
12	35	238
13	37	233
14	40	230
15	45	237
16	72	353
17	82	376
18	87	373
19	92	368
20	95	359
21	99	351
22	102	344
23	105	334
24	108	324
25	110	315
26	115	313
27	119	306
28	121	298
29	124	290
30	127	283
31	129	276
32	132	269
33	139	271
34	143	266
35	155	276
36	159	272
37	165	269
38	167	262
39	170	255
40	172	248
41	173	240
42	176	233
43	179	227
44	181	222
45	184	216
46	192	216
47	195	211
48	199	207
49	202	202
50	205	197
51	208	192
52	212	188
53	215	183
54	217	178
55	219	172
56	222	167
57	224	162
58	227	157
59	229	152
60	231	148
61	234	143
62	236	138
63	238	134
64	241	130
65	244	125
66	247	121
67	249	117
68	253	113
69	262	112
70	265	108
71	268	104
72	270	100
73	274	96
74	277	92
75	280	88
76	283	84
77	286	80
78	291	77
79	293	73
80	296	69
81	299	65
82	303	62
83	306	58
84	310	54
85	313	50
86	315	47
87	319	43
88	322	39
89	325	36
90	328	32
91	330	28
92	333	25
93	336	21
94	339	17
95	341	14
96	345	10
97	349	7
98	353	3
99	356	0
