iter	Passed	Remaining
0	158	157924
1	163	81373
2	167	55538
3	169	42310
4	172	34320
5	175	29122
6	179	25424
7	183	22717
8	191	21094
9	197	19561
10	200	18052
11	203	16763
12	205	15615
13	208	14705
14	211	13881
15	213	13159
16	216	12529
17	219	11960
18	221	11446
19	224	11009
20	227	10603
21	231	10273
22	233	9924
23	235	9591
24	239	9326
25	242	9076
26	245	8843
27	247	8592
28	249	8360
29	252	8164
30	255	7988
31	258	7808
32	260	7646
33	263	7485
34	266	7349
35	269	7219
36	272	7080
37	275	6964
38	277	6834
39	284	6817
40	286	6711
41	289	6601
42	291	6495
43	296	6439
44	298	6341
45	301	6252
46	303	6155
47	306	6069
48	312	6063
49	315	5988
50	317	5909
51	320	5836
52	323	5772
53	326	5714
54	328	5648
55	331	5591
56	334	5527
57	339	5506
58	341	5445
59	344	5389
60	346	5330
61	348	5279
62	352	5236
63	354	5184
64	356	5133
65	360	5105
66	363	5062
67	367	5031
68	369	4989
69	372	4943
70	375	4912
71	377	4870
72	380	4832
73	383	4798
74	385	4757
75	389	4729
76	393	4711
77	396	4686
78	398	4648
79	401	4616
80	404	4594
81	408	4570
82	409	4523
83	412	4494
84	414	4465
85	419	4454
86	423	4445
87	428	4438
88	430	4410
89	433	4386
90	436	4356
91	438	4328
92	441	4307
93	444	4287
94	447	4265
95	450	4240
96	452	4214
97	455	4191
98	458	4171
99	460	4148
100	464	4133
101	467	4116
102	473	4123
103	475	4099
104	479	4085
105	481	4063
106	484	4044
107	488	4034
108	490	4013
109	494	3997
110	496	3979
111	501	3979
112	505	3965
113	508	3953
114	510	3931
115	513	3915
116	515	3894
117	518	3876
118	521	3857
119	523	3839
120	525	3820
121	528	3803
122	531	3788
123	533	3771
124	536	3754
125	539	3742
126	541	3723
127	544	3706
128	547	3693
129	549	3680
130	553	3670
131	555	3654
132	558	3639
133	561	3625
134	563	3611
135	565	3595
136	568	3581
137	570	3566
138	573	3552
139	576	3539
140	578	3524
141	579	3504
142	582	3491
143	585	3477
144	587	3463
145	589	3450
146	592	3437
147	594	3423
148	597	3412
149	600	3400
150	603	3395
151	607	3387
152	610	3380
153	614	3373
154	616	3360
155	619	3350
156	621	3339
157	624	3327
158	627	3318
159	630	3309
160	632	3295
161	635	3287
162	637	3275
163	640	3264
164	643	3255
165	645	3244
166	648	3236
167	651	3226
168	654	3216
169	657	3208
170	659	3198
171	662	3188
172	666	3185
173	668	3174
174	671	3167
175	675	3161
176	678	3154
177	681	3145
178	683	3134
179	687	3130
180	689	3120
181	691	3109
182	694	3102
183	698	3097
184	703	3101
185	706	3091
186	709	3082
187	711	3075
188	714	3067
189	718	3063
190	721	3055
191	723	3046
192	726	3036
193	729	3032
194	732	3025
195	735	3016
196	737	3007
197	740	3001
198	743	2993
199	746	2986
200	751	2986
201	753	2978
202	759	2981
203	764	2982
204	767	2974
205	769	2967
206	772	2960
207	776	2955
208	778	2948
209	781	2939
210	783	2930
211	787	2928
212	790	2921
213	794	2919
214	797	2912
215	803	2917
216	810	2923
217	812	2914
218	814	2905
219	817	2898
220	820	2891
221	823	2885
222	825	2877
223	828	2869
224	831	2863
225	835	2860
226	837	2853
227	841	2849
228	844	2841
229	846	2833
230	849	2826
231	851	2819
232	854	2813
233	856	2805
234	859	2796
235	862	2791
236	865	2785
237	868	2779
238	870	2772
239	873	2766
240	876	2759
241	878	2752
242	881	2746
243	884	2740
244	887	2734
245	890	2729
246	893	2723
247	896	2717
248	899	2712
249	901	2705
250	903	2697
251	908	2697
252	911	2690
253	914	2685
254	916	2677
255	919	2671
256	921	2664
257	924	2657
258	926	2650
259	928	2644
260	931	2637
261	933	2630
262	936	2623
263	939	2618
264	941	2612
265	944	2606
266	946	2599
267	949	2592
268	951	2586
269	954	2580
270	956	2573
271	959	2566
272	961	2561
273	964	2554
274	966	2548
275	969	2542
276	971	2536
277	974	2529
278	976	2523
279	978	2517
280	982	2513
281	985	2509
282	989	2507
283	993	2504
284	997	2502
285	1000	2496
286	1002	2491
287	1005	2484
288	1007	2477
289	1008	2470
290	1011	2465
291	1014	2458
292	1016	2452
293	1018	2445
294	1020	2439
295	1023	2434
296	1025	2428
297	1028	2422
298	1031	2417
299	1033	2411
300	1035	2405
301	1038	2399
302	1041	2395
303	1043	2389
304	1046	2384
305	1049	2380
306	1051	2374
307	1054	2368
308	1057	2363
309	1059	2357
310	1061	2351
311	1063	2345
312	1065	2339
313	1068	2334
314	1072	2331
315	1074	2325
316	1077	2322
317	1080	2316
318	1083	2312
319	1089	2315
320	1092	2310
321	1095	2306
322	1098	2303
323	1103	2302
324	1106	2298
325	1109	2294
326	1112	2290
327	1115	2285
328	1118	2281
329	1121	2277
330	1125	2274
331	1128	2270
332	1131	2265
333	1133	2260
334	1136	2256
335	1138	2250
336	1142	2246
337	1144	2242
338	1149	2240
339	1152	2237
340	1157	2237
341	1163	2239
342	1167	2236
343	1170	2232
344	1173	2227
345	1175	2222
346	1179	2219
347	1182	2216
348	1185	2211
349	1187	2205
350	1189	2199
351	1192	2194
352	1194	2190
353	1198	2186
354	1200	2180
355	1202	2175
356	1204	2170
357	1208	2167
358	1212	2164
359	1214	2158
360	1216	2153
361	1219	2148
362	1222	2144
363	1225	2141
364	1228	2137
365	1230	2132
366	1233	2126
367	1235	2122
368	1238	2117
369	1240	2113
370	1243	2108
371	1246	2103
372	1248	2098
373	1251	2094
374	1255	2092
375	1258	2087
376	1260	2083
377	1263	2079
378	1266	2074
379	1268	2070
380	1271	2065
381	1273	2060
382	1276	2056
383	1278	2051
384	1281	2046
385	1284	2042
386	1286	2037
387	1289	2034
388	1292	2030
389	1295	2026
390	1297	2021
391	1301	2018
392	1305	2016
393	1308	2012
394	1310	2007
395	1315	2006
396	1318	2002
397	1320	1997
398	1322	1992
399	1324	1987
400	1328	1985
401	1332	1981
402	1334	1976
403	1336	1972
404	1339	1967
405	1341	1963
406	1344	1958
407	1346	1954
408	1349	1950
409	1352	1946
410	1355	1942
411	1358	1938
412	1361	1934
413	1363	1930
414	1366	1925
415	1368	1921
416	1371	1917
417	1373	1913
418	1376	1909
419	1379	1904
420	1381	1899
421	1384	1895
422	1386	1891
423	1389	1887
424	1392	1883
425	1394	1879
426	1397	1875
427	1399	1870
428	1402	1866
429	1404	1861
430	1407	1857
431	1409	1853
432	1412	1849
433	1414	1844
434	1416	1839
435	1418	1834
436	1421	1831
437	1424	1827
438	1426	1822
439	1429	1819
440	1432	1815
441	1434	1811
442	1438	1808
443	1441	1804
444	1443	1800
445	1446	1797
446	1449	1792
447	1451	1789
448	1454	1784
449	1456	1780
450	1458	1775
451	1462	1772
452	1464	1768
453	1467	1764
454	1469	1760
455	1472	1756
456	1475	1752
457	1480	1752
458	1483	1748
459	1486	1744
460	1488	1740
461	1491	1737
462	1495	1733
463	1497	1729
464	1500	1725
465	1502	1721
466	1504	1717
467	1507	1713
468	1509	1709
469	1512	1705
470	1514	1700
471	1516	1696
472	1519	1692
473	1521	1688
474	1524	1684
475	1526	1680
476	1530	1678
477	1534	1675
478	1537	1672
479	1541	1670
480	1544	1666
481	1547	1662
482	1549	1658
483	1552	1655
484	1556	1652
485	1559	1649
486	1561	1645
487	1564	1641
488	1568	1638
489	1571	1635
490	1574	1632
491	1577	1629
492	1580	1625
493	1585	1624
494	1588	1620
495	1590	1616
496	1593	1612
497	1596	1609
498	1599	1605
499	1601	1601
500	1604	1597
501	1606	1593
502	1609	1590
503	1612	1586
504	1614	1583
505	1617	1579
506	1620	1576
507	1623	1572
508	1626	1569
509	1629	1565
510	1631	1561
511	1634	1557
512	1636	1553
513	1638	1549
514	1642	1546
515	1644	1542
516	1647	1538
517	1649	1534
518	1651	1530
519	1653	1526
520	1655	1522
521	1659	1519
522	1662	1515
523	1664	1511
524	1666	1507
525	1668	1503
526	1671	1500
527	1675	1497
528	1677	1493
529	1680	1490
530	1683	1487
531	1686	1483
532	1689	1479
533	1691	1476
534	1693	1472
535	1696	1468
536	1699	1465
537	1703	1462
538	1705	1458
539	1708	1455
540	1711	1451
541	1713	1447
542	1715	1444
543	1718	1440
544	1720	1436
545	1723	1432
546	1725	1428
547	1726	1424
548	1728	1420
549	1732	1417
550	1734	1413
551	1737	1409
552	1739	1405
553	1741	1401
554	1743	1398
555	1746	1394
556	1748	1390
557	1751	1387
558	1753	1383
559	1755	1379
560	1757	1374
561	1759	1371
562	1762	1367
563	1764	1364
564	1767	1360
565	1770	1357
566	1772	1353
567	1775	1350
